_value,_id,__text
254,filter-player-koyuki,Koyuki
255,filter-player-wwlos,wwlos
256,filter-player-phonetap,PHONETAP
257,filter-player-th3rat,Th3RaT
258,filter-player-hawkeye,Hawkeye
260,filter-player-akawonder,AKAWonder
261,filter-player-eloise,Eloise
262,filter-player-legendaren,Legendaren
263,filter-player-explodingcow,ExplodingCow
264,filter-player-unskiller,unskiller
266,filter-player-nickchipper,NickChipper
267,filter-player-mitsuhide,Mitsuhide
268,filter-player-kbushi,kbushi
269,filter-player-neviilz,Neviilz
271,filter-player-puffin,Puffin
272,filter-player-capncrunch,CapnCrunch
273,filter-player-timmahtim,Timmahtim
275,filter-player-ratsmah,Ratsmah
276,filter-player-kevvec,KevveC
278,filter-player-cloudascris,Cloudascris
279,filter-player-faeli,Faeli
281,filter-player-raven,Raven
282,filter-player-gera89,Gera89
283,filter-player-falconepunch55,FalconePunch55
285,filter-player-dtolm,DTolm
286,filter-player-twobiers,TwoBiers
287,filter-player-sigmaquadro,sigmaquadro
289,filter-player-schismatron,Schismatron
290,filter-player-superjj,SuperJJ
292,filter-player-spo,Spo
297,filter-player-nias,Nias
298,filter-player-neilyo,Neilyo
299,filter-player-kno,Kno
300,filter-player-lovecx,LoveCX
301,filter-player-zoro,Zoro
302,filter-player-notomorrow,NoTomorrow
303,filter-player-diemeng,DieMeng
304,filter-player-asmodai,Asmodai
305,filter-player-ryzen,Ryzen
307,filter-player-modernleper,Modernleper
308,filter-player-mariohs,MarioHS
309,filter-player-berserkci,Berserkci
310,filter-player-amnesiac,Amnesiac
311,filter-player-jambre,Jambre
312,filter-player-drhippi,DrHippi
313,filter-player-pokrovac,Pokrovac
314,filter-player-nicslay,Nicslay
315,filter-player-diggen,Diggen
316,filter-player-tars,Tars
317,filter-player-cereza,Cereza
318,filter-player-bunnyhoppor,BunnyHoppor
319,filter-player-likeabawse,Likeabawse
321,filter-player-gosuforever,Gosuforever
322,filter-player-tholwmenos,Tholwmenos
324,filter-player-arneej,Arneej
331,filter-player-angeloshaggy,Angeloshaggy
335,filter-player-fearless,Fearless
337,filter-player-dimonenka,Dimonenka
338,filter-player-kenny1337,Kenny1337
339,filter-player-zetalot,Zetalot
340,filter-player-nostam,Nostam
341,filter-player-talion,Talion
342,filter-player-alskyhigh,AlSkyHigh
343,filter-player-chessdude,Chessdude
344,filter-player-snail,Snail
345,filter-player-wtybill,Wtybill
346,filter-player-chinoize,Chinoize
347,filter-player-jackker,Jackker
348,filter-player-terrencem,TerrenceM
349,filter-player-payton,Payton
350,filter-player-justsaiyan,Justsaiyan
351,filter-player-ant,Ant
352,filter-player-loyan,Loyan
353,filter-player-senfglas,Senfglas
354,filter-player-xzirez,Xzirez
355,filter-player-casie,Casie
356,filter-player-georgec,Georgec
357,filter-player-iner,Iner
358,filter-player-turna,Turna
359,filter-player-fibonacci,Fibonacci
360,filter-player-vlps,Vlps
361,filter-player-pnc,PNC
362,filter-player-deerjason,DeerJason
363,filter-player-cydonia,Cydonia
364,filter-player-duane,Duane
365,filter-player-gallon213,Gallon213
366,filter-player-joster,Joster
367,filter-player-napoleon,Napoleon
368,filter-player-rosty,Rosty
369,filter-player-bradfordlee,Bradfordlee
372,filter-player-caster,Caster
373,filter-player-edwardelric,EdwardElric
374,filter-player-foot,Foot
375,filter-player-heisnotaxel,Heisnotaxel
376,filter-player-jako1910,Jako1910
377,filter-player-killer-hero,Killer Hero
380,filter-player-c4mlann,C4mlann
381,filter-player-j4ckiechan,J4CKIECHAN
382,filter-player-dizdemon,Dizdemon
383,filter-player-grayj,Grayj
384,filter-player-ikealyou,Ikealyou
